state,state_txt
41,"+---------+, |Passenger waiting: |Taxi (empty): :destination|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
257,"+---------+, | : | : :destination|, | : | : : |, | : :Taxi (with passenger): : |, | | : | : |, | | : | : |, +---------+"
157,"+---------+, | : | : :destination|, | : |Taxi (with passenger): : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
277,"+---------+, | : | : :destination|, | : | : : |, | : : :Taxi (with passenger): |, | | : | : |, | | : | : |, +---------+"
297,"+---------+, | : | : :destination|, | : | : : |, | : : : :Taxi (with passenger)|, | | : | : |, | | : | : |, +---------+"
197,"+---------+, | : | : :destination|, | : | : :Taxi (with passenger)|, | : : : : |, | | : | : |, | | : | : |, +---------+"
177,"+---------+, | : | : :destination|, | : | :Taxi (with passenger): |, | : : : : |, | | : | : |, | | : | : |, +---------+"
77,"+---------+, | : | :Taxi (with passenger):destination|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
57,"+---------+, | : |Taxi (with passenger): :destination|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
97,"+---------+, | : | : :Taxi (with passenger) destination|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
329,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, | |Taxi (empty): | : |, |Passenger waiting| : | : |, +---------+"
349,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, | | :Taxi (empty)| : |, |Passenger waiting| : | : |, +---------+"
357,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, | | :Taxi (with passenger)| : |, | | : | : |, +---------+"
41,"+---------+, |Passenger waiting: |Taxi (empty): :destination|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
406,"+---------+, | : | : :Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, |Taxi (empty) destination| : | : |, +---------+"
306,"+---------+, | : | : :Passenger waiting|, | : | : : |, | : : : : |, |Taxi (empty)| : | : |, |destination| : | : |, +---------+"
206,"+---------+, | : | : :Passenger waiting|, | : | : : |, |Taxi (empty): : : : |, | | : | : |, |destination| : | : |, +---------+"
226,"+---------+, | : | : :Passenger waiting|, | : | : : |, | :Taxi (empty): : : |, | | : | : |, |destination| : | : |, +---------+"
246,"+---------+, | : | : :Passenger waiting|, | : | : : |, | : :Taxi (empty): : |, | | : | : |, |destination| : | : |, +---------+"
266,"+---------+, | : | : :Passenger waiting|, | : | : : |, | : : :Taxi (empty): |, | | : | : |, |destination| : | : |, +---------+"
366,"+---------+, | : | : :Passenger waiting|, | : | : : |, | : : : : |, | | : |Taxi (empty): |, |destination| : | : |, +---------+"
286,"+---------+, | : | : :Passenger waiting|, | : | : : |, | : : : :Taxi (empty)|, | | : | : |, |destination| : | : |, +---------+"
166,"+---------+, | : | : :Passenger waiting|, | : | :Taxi (empty): |, | : : : : |, | | : | : |, |destination| : | : |, +---------+"
146,"+---------+, | : | : :Passenger waiting|, | : |Taxi (empty): : |, | : : : : |, | | : | : |, |destination| : | : |, +---------+"
46,"+---------+, | : |Taxi (empty): :Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, |destination| : | : |, +---------+"
66,"+---------+, | : | :Taxi (empty):Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, |destination| : | : |, +---------+"
466,"+---------+, | : | : :Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, |destination| : |Taxi (empty): |, +---------+"
486,"+---------+, | : | : :Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, |destination| : | :Taxi (empty)|, +---------+"
386,"+---------+, | : | : :Passenger waiting|, | : | : : |, | : : : : |, | | : | :Taxi (empty)|, |destination| : | : |, +---------+"
186,"+---------+, | : | : :Passenger waiting|, | : | : :Taxi (empty)|, | : : : : |, | | : | : |, |destination| : | : |, +---------+"
346,"+---------+, | : | : :Passenger waiting|, | : | : : |, | : : : : |, | | :Taxi (empty)| : |, |destination| : | : |, +---------+"
446,"+---------+, | : | : :Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, |destination| :Taxi (empty)| : |, +---------+"
426,"+---------+, | : | : :Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, |destination|Taxi (empty): | : |, +---------+"
326,"+---------+, | : | : :Passenger waiting|, | : | : : |, | : : : : |, | |Taxi (empty): | : |, |destination| : | : |, +---------+"
86,"+---------+, | : | : :Taxi (empty) Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, |destination| : | : |, +---------+"
98,"+---------+, | : | : :Taxi (with passenger)|, | : | : : |, | : : : : |, | | : | : |, |destination| : | : |, +---------+"
78,"+---------+, | : | :Taxi (with passenger): |, | : | : : |, | : : : : |, | | : | : |, |destination| : | : |, +---------+"
178,"+---------+, | : | : : |, | : | :Taxi (with passenger): |, | : : : : |, | | : | : |, |destination| : | : |, +---------+"
278,"+---------+, | : | : : |, | : | : : |, | : : :Taxi (with passenger): |, | | : | : |, |destination| : | : |, +---------+"
298,"+---------+, | : | : : |, | : | : : |, | : : : :Taxi (with passenger)|, | | : | : |, |destination| : | : |, +---------+"
198,"+---------+, | : | : : |, | : | : :Taxi (with passenger)|, | : : : : |, | | : | : |, |destination| : | : |, +---------+"
398,"+---------+, | : | : : |, | : | : : |, | : : : : |, | | : | :Taxi (with passenger)|, |destination| : | : |, +---------+"
378,"+---------+, | : | : : |, | : | : : |, | : : : : |, | | : |Taxi (with passenger): |, |destination| : | : |, +---------+"
258,"+---------+, | : | : : |, | : | : : |, | : :Taxi (with passenger): : |, | | : | : |, |destination| : | : |, +---------+"
358,"+---------+, | : | : : |, | : | : : |, | : : : : |, | | :Taxi (with passenger)| : |, |destination| : | : |, +---------+"
338,"+---------+, | : | : : |, | : | : : |, | : : : : |, | |Taxi (with passenger): | : |, |destination| : | : |, +---------+"
238,"+---------+, | : | : : |, | : | : : |, | :Taxi (with passenger): : : |, | | : | : |, |destination| : | : |, +---------+"
138,"+---------+, | : | : : |, | :Taxi (with passenger)| : : |, | : : : : |, | | : | : |, |destination| : | : |, +---------+"
118,"+---------+, | : | : : |, |Taxi (with passenger): | : : |, | : : : : |, | | : | : |, |destination| : | : |, +---------+"
18,"+---------+, |Taxi (with passenger): | : : |, | : | : : |, | : : : : |, | | : | : |, |destination| : | : |, +---------+"
38,"+---------+, | :Taxi (with passenger)| : : |, | : | : : |, | : : : : |, | | : | : |, |destination| : | : |, +---------+"
218,"+---------+, | : | : : |, | : | : : |, |Taxi (with passenger): : : : |, | | : | : |, |destination| : | : |, +---------+"
158,"+---------+, | : | : : |, | : |Taxi (with passenger): : |, | : : : : |, | | : | : |, |destination| : | : |, +---------+"
58,"+---------+, | : |Taxi (with passenger): : |, | : | : : |, | : : : : |, | | : | : |, |destination| : | : |, +---------+"
478,"+---------+, | : | : : |, | : | : : |, | : : : : |, | | : | : |, |destination| : |Taxi (with passenger): |, +---------+"
474,"+---------+, | : | : : |, | : | : : |, | : : : : |, | | : | : |, |destination| : |Taxi (empty) Passenger waiting: |, +---------+"
498,"+---------+, | : | : : |, | : | : : |, | : : : : |, | | : | : |, |destination| : | :Taxi (with passenger)|, +---------+"
438,"+---------+, | : | : : |, | : | : : |, | : : : : |, | | : | : |, |destination|Taxi (with passenger): | : |, +---------+"
458,"+---------+, | : | : : |, | : | : : |, | : : : : |, | | : | : |, |destination| :Taxi (with passenger)| : |, +---------+"
318,"+---------+, | : | : : |, | : | : : |, | : : : : |, |Taxi (with passenger)| : | : |, |destination| : | : |, +---------+"
418,"+---------+, | : | : : |, | : | : : |, | : : : : |, | | : | : |, |Taxi (with passenger) destination| : | : |, +---------+"
464,"+---------+, |destination: | : :Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, | | : |Taxi (empty): |, +---------+"
364,"+---------+, |destination: | : :Passenger waiting|, | : | : : |, | : : : : |, | | : |Taxi (empty): |, | | : | : |, +---------+"
264,"+---------+, |destination: | : :Passenger waiting|, | : | : : |, | : : :Taxi (empty): |, | | : | : |, | | : | : |, +---------+"
164,"+---------+, |destination: | : :Passenger waiting|, | : | :Taxi (empty): |, | : : : : |, | | : | : |, | | : | : |, +---------+"
184,"+---------+, |destination: | : :Passenger waiting|, | : | : :Taxi (empty)|, | : : : : |, | | : | : |, | | : | : |, +---------+"
84,"+---------+, |destination: | : :Taxi (empty) Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
96,"+---------+, |destination: | : :Taxi (with passenger)|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
196,"+---------+, |destination: | : : |, | : | : :Taxi (with passenger)|, | : : : : |, | | : | : |, | | : | : |, +---------+"
64,"+---------+, |destination: | :Taxi (empty):Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
44,"+---------+, |destination: |Taxi (empty): :Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
284,"+---------+, |destination: | : :Passenger waiting|, | : | : : |, | : : : :Taxi (empty)|, | | : | : |, | | : | : |, +---------+"
384,"+---------+, |destination: | : :Passenger waiting|, | : | : : |, | : : : : |, | | : | :Taxi (empty)|, | | : | : |, +---------+"
144,"+---------+, |destination: | : :Passenger waiting|, | : |Taxi (empty): : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
244,"+---------+, |destination: | : :Passenger waiting|, | : | : : |, | : :Taxi (empty): : |, | | : | : |, | | : | : |, +---------+"
484,"+---------+, |destination: | : :Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, | | : | :Taxi (empty)|, +---------+"
224,"+---------+, |destination: | : :Passenger waiting|, | : | : : |, | :Taxi (empty): : : |, | | : | : |, | | : | : |, +---------+"
324,"+---------+, |destination: | : :Passenger waiting|, | : | : : |, | : : : : |, | |Taxi (empty): | : |, | | : | : |, +---------+"
124,"+---------+, |destination: | : :Passenger waiting|, | :Taxi (empty)| : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
104,"+---------+, |destination: | : :Passenger waiting|, |Taxi (empty): | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
204,"+---------+, |destination: | : :Passenger waiting|, | : | : : |, |Taxi (empty): : : : |, | | : | : |, | | : | : |, +---------+"
424,"+---------+, |destination: | : :Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, | |Taxi (empty): | : |, +---------+"
444,"+---------+, |destination: | : :Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, | | :Taxi (empty)| : |, +---------+"
76,"+---------+, |destination: | :Taxi (with passenger): |, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
176,"+---------+, |destination: | : : |, | : | :Taxi (with passenger): |, | : : : : |, | | : | : |, | | : | : |, +---------+"
56,"+---------+, |destination: |Taxi (with passenger): : |, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
296,"+---------+, |destination: | : : |, | : | : : |, | : : : :Taxi (with passenger)|, | | : | : |, | | : | : |, +---------+"
276,"+---------+, |destination: | : : |, | : | : : |, | : : :Taxi (with passenger): |, | | : | : |, | | : | : |, +---------+"
396,"+---------+, |destination: | : : |, | : | : : |, | : : : : |, | | : | :Taxi (with passenger)|, | | : | : |, +---------+"
496,"+---------+, |destination: | : : |, | : | : : |, | : : : : |, | | : | : |, | | : | :Taxi (with passenger)|, +---------+"
476,"+---------+, |destination: | : : |, | : | : : |, | : : : : |, | | : | : |, | | : |Taxi (with passenger): |, +---------+"
472,"+---------+, |destination: | : : |, | : | : : |, | : : : : |, | | : | : |, | | : |Taxi (empty) Passenger waiting: |, +---------+"
372,"+---------+, |destination: | : : |, | : | : : |, | : : : : |, | | : |Taxi (empty): |, | | : |Passenger waiting: |, +---------+"
272,"+---------+, |destination: | : : |, | : | : : |, | : : :Taxi (empty): |, | | : | : |, | | : |Passenger waiting: |, +---------+"
252,"+---------+, |destination: | : : |, | : | : : |, | : :Taxi (empty): : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
352,"+---------+, |destination: | : : |, | : | : : |, | : : : : |, | | :Taxi (empty)| : |, | | : |Passenger waiting: |, +---------+"
452,"+---------+, |destination: | : : |, | : | : : |, | : : : : |, | | : | : |, | | :Taxi (empty)|Passenger waiting: |, +---------+"
152,"+---------+, |destination: | : : |, | : |Taxi (empty): : |, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
232,"+---------+, |destination: | : : |, | : | : : |, | :Taxi (empty): : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
212,"+---------+, |destination: | : : |, | : | : : |, |Taxi (empty): : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
312,"+---------+, |destination: | : : |, | : | : : |, | : : : : |, |Taxi (empty)| : | : |, | | : |Passenger waiting: |, +---------+"
412,"+---------+, |destination: | : : |, | : | : : |, | : : : : |, | | : | : |, |Taxi (empty)| : |Passenger waiting: |, +---------+"
112,"+---------+, |destination: | : : |, |Taxi (empty): | : : |, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
12,"+---------+, |Taxi (empty) destination: | : : |, | : | : : |, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
32,"+---------+, |destination:Taxi (empty)| : : |, | : | : : |, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
132,"+---------+, |destination: | : : |, | :Taxi (empty)| : : |, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
52,"+---------+, |destination: |Taxi (empty): : |, | : | : : |, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
72,"+---------+, |destination: | :Taxi (empty): |, | : | : : |, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
92,"+---------+, |destination: | : :Taxi (empty)|, | : | : : |, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
192,"+---------+, |destination: | : : |, | : | : :Taxi (empty)|, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
172,"+---------+, |destination: | : : |, | : | :Taxi (empty): |, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
292,"+---------+, |destination: | : : |, | : | : : |, | : : : :Taxi (empty)|, | | : | : |, | | : |Passenger waiting: |, +---------+"
392,"+---------+, |destination: | : : |, | : | : : |, | : : : : |, | | : | :Taxi (empty)|, | | : |Passenger waiting: |, +---------+"
376,"+---------+, |destination: | : : |, | : | : : |, | : : : : |, | | : |Taxi (with passenger): |, | | : | : |, +---------+"
156,"+---------+, |destination: | : : |, | : |Taxi (with passenger): : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
256,"+---------+, |destination: | : : |, | : | : : |, | : :Taxi (with passenger): : |, | | : | : |, | | : | : |, +---------+"
236,"+---------+, |destination: | : : |, | : | : : |, | :Taxi (with passenger): : : |, | | : | : |, | | : | : |, +---------+"
336,"+---------+, |destination: | : : |, | : | : : |, | : : : : |, | |Taxi (with passenger): | : |, | | : | : |, +---------+"
436,"+---------+, |destination: | : : |, | : | : : |, | : : : : |, | | : | : |, | |Taxi (with passenger): | : |, +---------+"
356,"+---------+, |destination: | : : |, | : | : : |, | : : : : |, | | :Taxi (with passenger)| : |, | | : | : |, +---------+"
456,"+---------+, |destination: | : : |, | : | : : |, | : : : : |, | | : | : |, | | :Taxi (with passenger)| : |, +---------+"
344,"+---------+, |destination: | : :Passenger waiting|, | : | : : |, | : : : : |, | | :Taxi (empty)| : |, | | : | : |, +---------+"
304,"+---------+, |destination: | : :Passenger waiting|, | : | : : |, | : : : : |, |Taxi (empty)| : | : |, | | : | : |, +---------+"
404,"+---------+, |destination: | : :Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, |Taxi (empty)| : | : |, +---------+"
4,"+---------+, |Taxi (empty) destination: | : :Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
24,"+---------+, |destination:Taxi (empty)| : :Passenger waiting|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
337,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, | |Taxi (with passenger): | : |, | | : | : |, +---------+"
437,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, | | : | : |, | |Taxi (with passenger): | : |, +---------+"
457,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, | | : | : |, | | :Taxi (with passenger)| : |, +---------+"
314,"+---------+, | : | : : |, | : | : : |, | : : : : |, |Taxi (empty)| : | : |, |destination| : |Passenger waiting: |, +---------+"
214,"+---------+, | : | : : |, | : | : : |, |Taxi (empty): : : : |, | | : | : |, |destination| : |Passenger waiting: |, +---------+"
114,"+---------+, | : | : : |, |Taxi (empty): | : : |, | : : : : |, | | : | : |, |destination| : |Passenger waiting: |, +---------+"
14,"+---------+, |Taxi (empty): | : : |, | : | : : |, | : : : : |, | | : | : |, |destination| : |Passenger waiting: |, +---------+"
34,"+---------+, | :Taxi (empty)| : : |, | : | : : |, | : : : : |, | | : | : |, |destination| : |Passenger waiting: |, +---------+"
134,"+---------+, | : | : : |, | :Taxi (empty)| : : |, | : : : : |, | | : | : |, |destination| : |Passenger waiting: |, +---------+"
234,"+---------+, | : | : : |, | : | : : |, | :Taxi (empty): : : |, | | : | : |, |destination| : |Passenger waiting: |, +---------+"
334,"+---------+, | : | : : |, | : | : : |, | : : : : |, | |Taxi (empty): | : |, |destination| : |Passenger waiting: |, +---------+"
254,"+---------+, | : | : : |, | : | : : |, | : :Taxi (empty): : |, | | : | : |, |destination| : |Passenger waiting: |, +---------+"
354,"+---------+, | : | : : |, | : | : : |, | : : : : |, | | :Taxi (empty)| : |, |destination| : |Passenger waiting: |, +---------+"
434,"+---------+, | : | : : |, | : | : : |, | : : : : |, | | : | : |, |destination|Taxi (empty): |Passenger waiting: |, +---------+"
454,"+---------+, | : | : : |, | : | : : |, | : : : : |, | | : | : |, |destination| :Taxi (empty)|Passenger waiting: |, +---------+"
414,"+---------+, | : | : : |, | : | : : |, | : : : : |, | | : | : |, |Taxi (empty) destination| : |Passenger waiting: |, +---------+"
154,"+---------+, | : | : : |, | : |Taxi (empty): : |, | : : : : |, | | : | : |, |destination| : |Passenger waiting: |, +---------+"
174,"+---------+, | : | : : |, | : | :Taxi (empty): |, | : : : : |, | | : | : |, |destination| : |Passenger waiting: |, +---------+"
74,"+---------+, | : | :Taxi (empty): |, | : | : : |, | : : : : |, | | : | : |, |destination| : |Passenger waiting: |, +---------+"
94,"+---------+, | : | : :Taxi (empty)|, | : | : : |, | : : : : |, | | : | : |, |destination| : |Passenger waiting: |, +---------+"
194,"+---------+, | : | : : |, | : | : :Taxi (empty)|, | : : : : |, | | : | : |, |destination| : |Passenger waiting: |, +---------+"
54,"+---------+, | : |Taxi (empty): : |, | : | : : |, | : : : : |, | | : | : |, |destination| : |Passenger waiting: |, +---------+"
294,"+---------+, | : | : : |, | : | : : |, | : : : :Taxi (empty)|, | | : | : |, |destination| : |Passenger waiting: |, +---------+"
274,"+---------+, | : | : : |, | : | : : |, | : : :Taxi (empty): |, | | : | : |, |destination| : |Passenger waiting: |, +---------+"
394,"+---------+, | : | : : |, | : | : : |, | : : : : |, | | : | :Taxi (empty)|, |destination| : |Passenger waiting: |, +---------+"
374,"+---------+, | : | : : |, | : | : : |, | : : : : |, | | : |Taxi (empty): |, |destination| : |Passenger waiting: |, +---------+"
494,"+---------+, | : | : : |, | : | : : |, | : : : : |, | | : | : |, |destination| : |Passenger waiting:Taxi (empty)|, +---------+"
333,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, | |Taxi (empty): | : |, | | : |Passenger waiting: |, +---------+"
353,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, | | :Taxi (empty)| : |, | | : |Passenger waiting: |, +---------+"
433,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, | | : | : |, | |Taxi (empty): |Passenger waiting: |, +---------+"
453,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, | | : | : |, | | :Taxi (empty)|Passenger waiting: |, +---------+"
233,"+---------+, | : | : :destination|, | : | : : |, | :Taxi (empty): : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
253,"+---------+, | : | : :destination|, | : | : : |, | : :Taxi (empty): : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
133,"+---------+, | : | : :destination|, | :Taxi (empty)| : : |, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
153,"+---------+, | : | : :destination|, | : |Taxi (empty): : |, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
173,"+---------+, | : | : :destination|, | : | :Taxi (empty): |, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
273,"+---------+, | : | : :destination|, | : | : : |, | : : :Taxi (empty): |, | | : | : |, | | : |Passenger waiting: |, +---------+"
73,"+---------+, | : | :Taxi (empty):destination|, | : | : : |, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
53,"+---------+, | : |Taxi (empty): :destination|, | : | : : |, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
93,"+---------+, | : | : :Taxi (empty) destination|, | : | : : |, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
193,"+---------+, | : | : :destination|, | : | : :Taxi (empty)|, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
113,"+---------+, | : | : :destination|, |Taxi (empty): | : : |, | : : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
213,"+---------+, | : | : :destination|, | : | : : |, |Taxi (empty): : : : |, | | : | : |, | | : |Passenger waiting: |, +---------+"
313,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, |Taxi (empty)| : | : |, | | : |Passenger waiting: |, +---------+"
413,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, | | : | : |, |Taxi (empty)| : |Passenger waiting: |, +---------+"
293,"+---------+, | : | : :destination|, | : | : : |, | : : : :Taxi (empty)|, | | : | : |, | | : |Passenger waiting: |, +---------+"
373,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, | | : |Taxi (empty): |, | | : |Passenger waiting: |, +---------+"
473,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, | | : | : |, | | : |Taxi (empty) Passenger waiting: |, +---------+"
